,service_name,api_name,zipkin_timestamp,duration
6003,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:11:27,32.676000
6004,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:11:25,55.957000
6005,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:12:04,1.594000
6006,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:12:08,40.393000
6007,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:12:03,55.117000
6008,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:12:03,45.668000
6009,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:12:07,23.899000
6010,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:12:03,52.660000
6011,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:12:40,1.558000
6012,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:12:40,50.27000
6013,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:12:37,39.597000
6014,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:12:42,1.816000
6015,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:14:15,42.179000
6016,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:14:18,21.678000
6017,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:14:19,42.776000
6018,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:14:19,1.874000
6019,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:14:24,32.296000
6020,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:14:17,29.319000
6021,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:14:17,1.745000
6022,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:14:21,2.5000
6023,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:14:22,1.953000
6024,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:14:21,1.714000
6025,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:14:26,45.737000
6026,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:14:28,1.299000
6027,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:14:30,42.238000
6028,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:14:29,1.504000
6029,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:14:37,36.349000
6030,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:14:40,35.234000
6031,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:14:33,18.466000
6032,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:14:36,44.781000
6033,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:14:39,1.930000
6034,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:14:41,43.606000
6035,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:14:42,1.737000
6036,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:14:45,26.251000
6037,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:14:45,1.576000
6038,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:14:46,1.519000
6039,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:14:49,7.336000
6040,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:14:44,1.860000
6041,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:14:50,24.932000
6042,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:14:54,1.631000
6043,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:15:48,45.557000
6044,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:15:48,1.772000
6045,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:15:52,40.192000
6046,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal/observed-at,2023-06-23T02:15:52,1.733000
6047,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:15:54,20.676000
6048,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:15:52,39.943000
6049,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:15:49,38.963000
6050,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:15:50,38.485000
6051,databroker-service,get /ndxpro/v1/broker/entities/iot/temporal,2023-06-23T02:15:48,37.685000
